Target,Horizon,MAE,RMSE,Bias,Dir Acc %,Pred % Range,Pred >2%,WAITs,Avg Return Diff
NAIVE,1,133.5,170.11,23.0,0.0,0.0% to 0.0%,0,0,-23.0
ABSOLUTE,1,127.62,148.83,-52.43,70.0,-15.2% to 1.4%,0,0,-23.0
DIFF,1,128.72,159.84,3.77,60.0,-2.4% to 0.8%,0,0,-23.0
PCT,1,129.08,160.19,7.29,60.0,-2.3% to 0.8%,0,0,-23.0
NAIVE,2,152.5,178.3,43.06,0.0,0.0% to 0.0%,0,0,-43.06
ABSOLUTE,2,123.42,150.56,-43.55,66.7,-13.0% to 1.4%,0,0,-43.06
DIFF,2,126.47,140.98,8.52,77.8,-7.2% to 1.5%,0,0,-43.06
PCT,2,129.59,142.65,14.82,55.6,-6.6% to 1.6%,0,0,-43.06
NAIVE,3,182.5,199.88,38.12,0.0,0.0% to 0.0%,0,0,-38.12
ABSOLUTE,3,135.19,156.29,-47.71,75.0,-13.0% to 4.1%,1,1,-38.12
DIFF,3,131.07,165.49,14.91,75.0,-6.6% to 2.3%,3,3,-38.12
PCT,3,135.92,169.88,22.63,75.0,-6.8% to 2.5%,3,3,-38.12
